adaptability|Adaptability
aerilate|Aerilate
aftermath|Aftermath
air_lock|Air Lock
analytic|Analytic
anger_point|Anger Point
anticipation|Anticipation
arena_trap|Arena Trap
aroma_veil|Aroma Veil
aura_break|Aura Break
bad_dreams|Bad Dreams
battery|Battery
battle_armor|Battle Armor
battle_bond|Battle Bond
beast_boost|Beast Boost
berserk|Berserk
big_pecks|Big Pecks
blaze|Blaze
bulletproof|Bulletproof
cheek_pouch|Cheek Pouch
chlorophyll|Chlorophyll
clear_body|Clear Body
cloud_nine|Cloud Nine
color_change|Color Change
comatose|Comatose
competitive|Competitive
compound_eyes|Compound Eyes
contrary|Contrary
corrosion|Corrosion
cursed_body|Cursed Body
cute_charm|Cute Charm
damp|Damp
dancer|Dancer
dark_aura|Dark Aura
dazzling|Dazzling
defeatist|Defeatist
defiant|Defiant
delta_stream|Delta Stream
desolate_land|Desolate Land
disguise|Disguise
download|Download
drizzle|Drizzle
drought|Drought
dry_skin|Dry Skin
early_bird|Early Bird
effect_spore|Effect Spore
electric_surge|Electric Surge
emergency_exit|Emergency Exit
fairy_aura|Fairy Aura
filter|Filter
flame_body|Flame Body
flare_boost|Flare Boost
flash_fire|Flash Fire
flower_gift|Flower Gift
flower_veil|Flower Veil
fluffy|Fluffy
forecast|Forecast
forewarn|Forewarn
friend_guard|Friend Guard
frisk|Frisk
full_metal_body|Full Metal Body
fur_coat|Fur Coat
gale_wings|Gale Wings
galvanize|Galvanize
gluttony|Gluttony
gooey|Gooey
grass_pelt|Grass Pelt
grassy_surge|Grassy Surge
guts|Guts
harvest|Harvest
healer|Healer
heatproof|Heatproof
heavy_metal|Heavy Metal
honey_gather|Honey Gather
huge_power|Huge Power
hustle|Hustle
hydration|Hydration
hyper_cutter|Hyper Cutter
ice_body|Ice Body
illuminate|Illuminate
illusion|Illusion
immunity|Immunity
imposter|Imposter
infiltrator|Infiltrator
innards_out|Innards Out
inner_focus|Inner Focus
insomnia|Insomnia
intimidate|Intimidate
iron_barbs|Iron Barbs
iron_fist|Iron Fist
justified|Justified
keen_eye|Keen Eye
klutz|Klutz
leaf_guard|Leaf Guard
levitate|Levitate
light_metal|Light Metal
lightning_rod|Lightning Rod
limber|Limber
liquid_ooze|Liquid Ooze
liquid_voice|Liquid Voice
long_reach|Long Reach
magic_bounce|Magic Bounce
magic_guard|Magic Guard
magician|Magician
magma_armor|Magma Armor
magnet_pull|Magnet Pull
marvel_scale|Marvel Scale
mega_launcher|Mega Launcher
merciless|Merciless
minus|Minus
misty_surge|Misty Surge
mold_breaker|Mold Breaker
moody|Moody
motor_drive|Motor Drive
moxie|Moxie
multiscale|Multiscale
multitype|Multitype
mummy|Mummy
natural_cure|Natural Cure
neuroforce|Neuroforce
no_guard|No Guard
normalize|Normalize
oblivious|Oblivious
overcoat|Overcoat
overgrow|Overgrow
own_tempo|Own Tempo
parental_bond|Parental Bond
pickpocket|Pickpocket
pickup|Pickup
pixilate|Pixilate
plus|Plus
poison_heal|Poison Heal
poison_point|Poison Point
poison_touch|Poison Touch
power_construct|Power Construct
power_of_alchemy|Power Of Alchemy
prankster|Prankster
pressure|Pressure
primordial_sea|Primordial Sea
prism_armor|Prism Armor
protean|Protean
psychic_surge|Psychic Surge
pure_power|Pure Power
queenly_majesty|Queenly Majesty
quick_feet|Quick Feet
rain_dish|Rain Dish
rattled|Rattled
receiver|Receiver
reckless|Reckless
refrigerate|Refrigerate
regenerator|Regenerator
rivalry|Rivalry
rks_system|Rks System
rock_head|Rock Head
rough_skin|Rough Skin
run_away|Run Away
sand_force|Sand Force
sand_rush|Sand Rush
sand_stream|Sand Stream
sand_veil|Sand Veil
sap_sipper|Sap Sipper
schooling|Schooling
scrappy|Scrappy
serene_grace|Serene Grace
shadow_shield|Shadow Shield
shadow_tag|Shadow Tag
shed_skin|Shed Skin
sheer_force|Sheer Force
shell_armor|Shell Armor
shield_dust|Shield Dust
shields_down|Shields Down
simple|Simple
skill_link|Skill Link
slow_start|Slow Start
slush_rush|Slush Rush
sniper|Sniper
snow_cloak|Snow Cloak
snow_warning|Snow Warning
solar_power|Solar Power
solid_rock|Solid Rock
soul_heart|Soul Heart
soundproof|Soundproof
speed_boost|Speed Boost
stakeout|Stakeout
stall|Stall
stamina|Stamina
stance_change|Stance Change
static|Static
steadfast|Steadfast
steelworker|Steelworker
stench|Stench
sticky_hold|Sticky Hold
storm_drain|Storm Drain
strong_jaw|Strong Jaw
sturdy|Sturdy
suction_cups|Suction Cups
super_luck|Super Luck
surge_surfer|Surge Surfer
swarm|Swarm
sweet_veil|Sweet Veil
swift_swim|Swift Swim
symbiosis|Symbiosis
synchronize|Synchronize
tangled_feet|Tangled Feet
tangling_hair|Tangling Hair
technician|Technician
telepathy|Telepathy
teravolt|Teravolt
thick_fat|Thick Fat
tinted_lens|Tinted Lens
torrent|Torrent
tough_claws|Tough Claws
toxic_boost|Toxic Boost
trace|Trace
triage|Triage
truant|Truant
turboblaze|Turboblaze
unaware|Unaware
unburden|Unburden
unnerve|Unnerve
victory_star|Victory Star
vital_spirit|Vital Spirit
volt_absorb|Volt Absorb
water_absorb|Water Absorb
water_bubble|Water Bubble
water_compaction|Water Compaction
water_veil|Water Veil
weak_armor|Weak Armor
white_smoke|White Smoke
wimp_out|Wimp Out
wonder_guard|Wonder Guard
wonder_skin|Wonder Skin
zen_mode|Zen Mode
