abomasnow|Abomasnow
abra|Abra
absol|Absol
accelgor|Accelgor
aegislash|Aegislash
aerodactyl|Aerodactyl
aggron|Aggron
aipom|Aipom
alakazam|Alakazam
alolan_diglett|Alolan Diglett
alolan_dugtrio|Alolan Dugtrio
alolan_exeggutor|Alolan Exeggutor
alolan_geodude|Alolan Geodude
alolan_golem|Alolan Golem
alolan_graveler|Alolan Graveler
alolan_grimer|Alolan Grimer
alolan_marowak|Alolan Marowak
alolan_meowth|Alolan Meowth
alolan_muk|Alolan Muk
alolan_ninetales|Alolan Ninetales
alolan_persian|Alolan Persian
alolan_raichu|Alolan Raichu
alolan_raticate|Alolan Raticate
alolan_rattata|Alolan Rattata
alolan_sandshrew|Alolan Sandshrew
alolan_sandslash|Alolan Sandslash
alolan_vulpix|Alolan Vulpix
alomomola|Alomomola
altaria|Altaria
amaura|Amaura
ambipom|Ambipom
amoonguss|Amoonguss
ampharos|Ampharos
anorith|Anorith
araquanid|Araquanid
arbok|Arbok
arcanine|Arcanine
arceus|Arceus
archen|Archen
archeops|Archeops
ariados|Ariados
armaldo|Armaldo
aromatisse|Aromatisse
aron|Aron
articuno|Articuno
audino|Audino
aurorus|Aurorus
avalugg|Avalugg
axew|Axew
azelf|Azelf
azumarill|Azumarill
azurill|Azurill
bagon|Bagon
baltoy|Baltoy
banette|Banette
barbaracle|Barbaracle
barboach|Barboach
basculin|Basculin
bastiodon|Bastiodon
bayleef|Bayleef
beartic|Beartic
beautifly|Beautifly
beedrill|Beedrill
beheeyem|Beheeyem
beldum|Beldum
bellossom|Bellossom
bellsprout|Bellsprout
bergmite|Bergmite
bewear|Bewear
bibarel|Bibarel
bidoof|Bidoof
binacle|Binacle
bisharp|Bisharp
blacephalon|Blacephalon
blastoise|Blastoise
blaziken|Blaziken
blissey|Blissey
blitzle|Blitzle
boldore|Boldore
bonsly|Bonsly
bouffalant|Bouffalant
bounsweet|Bounsweet
braixen|Braixen
braviary|Braviary
breloom|Breloom
brionne|Brionne
bronzong|Bronzong
bronzor|Bronzor
bruxish|Bruxish
budew|Budew
buizel|Buizel
bulbasaur|Bulbasaur
buneary|Buneary
bunnelby|Bunnelby
burmy|Burmy
butterfree|Butterfree
buzzwole|Buzzwole
cacnea|Cacnea
cacturne|Cacturne
camerupt|Camerupt
carbink|Carbink
carnivine|Carnivine
carracosta|Carracosta
carvanha|Carvanha
cascoon|Cascoon
castform|Castform
caterpie|Caterpie
celebi|Celebi
celesteela|Celesteela
chandelure|Chandelure
chansey|Chansey
charizard|Charizard
charjabug|Charjabug
charmander|Charmander
charmeleon|Charmeleon
chatot|Chatot
cherrim|Cherrim
cherubi|Cherubi
chesnaught|Chesnaught
chespin|Chespin
chikorita|Chikorita
chimchar|Chimchar
chimecho|Chimecho
chinchou|Chinchou
chingling|Chingling
cinccino|Cinccino
clamperl|Clamperl
clauncher|Clauncher
clawitzer|Clawitzer
claydol|Claydol
clefable|Clefable
clefairy|Clefairy
cleffa|Cleffa
cloyster|Cloyster
cobalion|Cobalion
cofagrigus|Cofagrigus
combee|Combee
combusken|Combusken
comfey|Comfey
conkeldurr|Conkeldurr
corphish|Corphish
corsola|Corsola
cosmoem|Cosmoem
cosmog|Cosmog
cottonee|Cottonee
crabominable|Crabominable
crabrawler|Crabrawler
cradily|Cradily
cranidos|Cranidos
crawdaunt|Crawdaunt
cresselia|Cresselia
croagunk|Croagunk
crobat|Crobat
croconaw|Croconaw
crustle|Crustle
cryogonal|Cryogonal
cubchoo|Cubchoo
cubone|Cubone
cutiefly|Cutiefly
cyndaquil|Cyndaquil
darkrai|Darkrai
darmanitan|Darmanitan
dartrix|Dartrix
darumaka|Darumaka
decidueye|Decidueye
dedenne|Dedenne
deerling|Deerling
deino|Deino
delcatty|Delcatty
delibird|Delibird
delphox|Delphox
deoxys|Deoxys
dewgong|Dewgong
dewott|Dewott
dewpider|Dewpider
dhelmise|Dhelmise
